,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,ttFatJetParTXtauhtauevsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.855 or BDTScoretauhtauevsAll < 0.9918
JetMET,3000.0,2899.0,1436.0,1429.0,1425.0
Tau,681.0,675.0,194.0,190.0,190.0
EGamma,168.0,160.0,46.0,46.0,46.0
QCD Multijet,1909.4623229389074,1860.5687233960757,504.3348435098934,503.82527401457014,503.82527401457014
TT Had,39.43320758777243,37.198428472805276,15.449091457393175,15.396410792883245,15.396410792883245
TT SL,198.49997647274535,188.09341402579477,142.00395158314217,139.2838973482253,138.0723602701845
TT LL,108.23438124446326,103.36091658021387,82.78073750162545,80.95619008205182,80.47438403596063
DY+Jets,525.1971693486907,522.8664085462304,502.2375557393664,502.841720938725,502.8688992068655
W+Jets,40.55022166873863,37.854863912767534,12.214018429813697,12.214018429813697,12.214018429813697
Z+Jets,33.67465792097879,31.98577464277432,8.594858081044961,8.594858081044961,8.594858081044961
Hbb,2.6157090831542766,2.5746127234861005,1.8307527114026025,1.8265162524705105,1.7820446506294703
ggF HHbb$\tau\tau$,0.1831537950976752,0.18057981460320038,0.16334447963494703,0.16336630052363713,0.1495450105970375
VBF HHbb$\tau\tau$ (SM),0.0032690323284754958,0.003157761078373348,0.0027874595659551594,0.0027874595659551594,0.002561090119340274
ggF HHbb$\tau_h e$,0.044008234112892605,0.04329767301114804,0.03967112004845068,0.03967112004845068,0.026959367028910584
VBF HHbb$\tau_h e$ (SM),0.0007378013877088225,0.0007152723779951223,0.0006540944391574024,0.0006540944391574024,0.0004435739954225822
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5015596565272108,0.4965276904817649,0.47073043195020514,0.47073043195020514,0.32038943245131624
